"IDcliente","datatransazione","acquisto","quantita"
"1","2024-01-08","ProdottoA","4"
"2","2024-01-09","ProdottoB","2"
"3","2024-01-10","ProdottoC","2"
"4","2024-01-11","ProdottoD","5"
"5","2024-01-12","ProdottoE","3"
"6","2024-01-13","ProdottoF","4"
"7","2024-01-14","ProdottoG","4"
"8","2024-01-15","ProdottoH","6"
"9","2024-01-16","ProdottoI","2"
"10","2024-01-17","ProdottoJ","1"
"1","2024-01-30","ProdottoP","5"
"2","2024-01-27","ProdottoQ","1"
"3","2024-01-15","ProdottoR","2"
"4","2024-01-27","ProdottoS","4"
"5","2024-01-10","ProdottoT","5"
"6","2024-01-06","ProdottoU","3"
"7","2024-01-03","ProdottoV","3"
"8","2024-01-24","ProdottoW","4"
"9","2024-01-23","ProdottoX","5"
"10","2024-01-06","ProdottoY","2"
"1","2023-10-25","ProdottoP","2"
"2","2023-11-19","ProdottoQ","4"
"7","2023-12-17","ProdottoV","3"
"8","2023-12-06","ProdottoW","4"
"1","2023-10-30","ProdottoZ","3"
"3","2023-10-05","ProdottoBB","2"
"5","2023-12-06","ProdottoDD","3"
"10","2023-10-16","ProdottoII","1"
